ASV_name	08_2016_F4_1	08_2016_F4_2	09_2016_F4_1	09_2016_F4_2	10_2016_F4	11_2016_F4	12_2016_F4	01_2017_F4	02_2017_F4_1	02_2017_F4_2	03_2017_F4_2	03_2017_F4_3	03_2017_F4_4	04_2017_F4_1	04_2017_F4_2	05_2017_F4_1	05_2017_F4_2	06_2017_F4_1	06_2017_F4_2	07_2017_F4_1	07_2017_F4_2	07_2017_F4_3	08_2017_F4_1	08_2017_F4_2	09_2017_F4_1	09_2017_F4_2	10_2017_F4	11_2017_F4	12_2017_F4	01_2018_F4	02_2018_F4_1	02_2018_F4_2	03_2018_F4_1	03_2018_F4_2	03_2018_F4_3	04_2018_F4_1	04_2018_F4_2	04_2018_F4_3	04_2018_F4_4	05_2018_F4_1	05_2018_F4_2	06_2018_F4_1	06_2018_F4_2	06_2018_F4_3	07_2018_F4_1	07_2018_F4_2	08_2018_F4_1	08_2018_F4_2	09_2018_F4_1	09_2018_F4_2	10_2018_F4_1	10_2018_F4_2	11_2018_F4_1	11_2018_F4_2	12_2018_F4_1	12_2018_F4_2	01_2019_F4_1	01_2019_F4_2	02_2019_F4	03_2019_F4_1	03_2019_F4_2	04_2019_F4_1	04_2019_F4_2	05_2019_F4_1	05_2019_F4_2	06_2019_F4_1	06_2019_F4_2	07_2019_F4_1	07_2019_F4_2	07_2019_F4_3	07_2019_F4_4	08_2019_F4_1	08_2019_F4_2	09_2019_F4_1	10_2019_F4_1	10_2019_F4_2	11_2019_F4_1	11_2019_F4_2	12_2019_F4_1	12_2019_F4_2	01_2020_F4_1	01_2020_F4_2	02_2020_F4_1	02_2020_F4_2	03_2020_F4_1	03_2020_F4_2	04_2020_F4_1	04_2020_F4_2	05_2020_F4_1	05_2020_F4_2	06_2020_F4_1	06_2020_F4_2	07_2020_F4_1	07_2020_F4_2	08_2020_F4	09_2020_F4_1	09_2020_F4_2
prok_asv21	2784	4897	2077	779	1799	1916	1725	2329	258	706	501	1307	1934	632	1830	818	686	854	432	341	155	233	713	1265	697	1538	1295	1241	550	402	295	583	261	376	474	406	715	562	246	287	276	197	133	128	123	40	1958	627	2398	3805	3376	2014	2394	816	745	734	756	390	697	444	418	2472	2173	679	221	763	13622	935	2859	1343	982	778	89	5273	9473	5956	3029	1294	325	396	347	567	337	430	174	232	277	933	491	504	672	1059	899	1236	1442	1171	926
prok_asv22	2508	3274	3356	1423	2332	1402	1251	1426	371	618	911	1548	2089	799	2345	641	642	737	294	416	469	325	1206	1119	742	970	1059	1092	491	284	382	465	305	446	511	444	767	687	159	284	398	578	335	360	225	72	1457	486	890	1295	2108	865	1220	506	309	297	358	382	384	309	222	2083	1655	389	121	355	5623	677	1212	201	170	248	32	6595	4237	4242	3314	1794	698	1211	1666	1900	1743	2198	881	1223	827	2165	786	633	989	1815	880	814	821	861	479
prok_asv23	2039	5028	480	188	153	97	43	34	12	7	4	7	1	0	17	132	183	649	720	5046	6193	1264	3349	1420	2147	224	198	76	45	18	16	20	6	3	9	11	13	8	52	1061	2093	2436	9218	3851	5658	541	1263	2700	1452	455	883	86	84	0	10	17	10	0	14	0	10	101	0	31	249	1236	16125	2706	7010	721	3226	1161	134	1626	2889	1738	1202	196	71	162	134	18	53	43	9	42	14	23	838	3300	3915	8665	5741	2691	718	3679	500
prok_asv24	7101	291	0	3	4	0	1	0	0	1	2	0	0	0	2	0	0	0	5	1	9	6	8	9	14	5	12	8	34	31	30	31	24	49	15	32	46	68	9	6	36	147	75	6	4107	673	3897	15	1	8	1	0	12	0	6	1	0	0	2	0	1	2	0	0	1	0	23	0	157	1	14	118	12	2	2	2	4	5	5	6	4	4	10	3	4	0	0	0	0	0	82	4	47	55	0	3	0
prok_asv25	5592	12045	5918	1707	795	389	344	843	131	305	275	823	1044	380	1166	317	183	178	76	774	1190	1435	1730	1015	938	872	438	377	211	143	124	272	161	232	354	224	343	330	150	135	200	1393	360	586	1838	513	3265	2984	3531	2780	1784	615	613	106	242	240	169	140	350	327	298	2123	1387	296	35	66	2016	5520	4610	755	4160	3141	1361	4045	3899	1637	589	344	77	111	187	184	189	249	74	108	125	451	272	116	229	476	1249	2786	2068	2829	1432
prok_asv26	441	141	127	112	405	185	761	399	50	68	264	480	298	115	507	371	630	1060	406	217	55	245	121	227	146	344	170	370	261	150	175	120	68	164	179	163	284	352	155	499	386	189	152	68	69	28	198	206	240	628	1130	419	649	888	240	262	377	160	341	69	301	1562	612	573	337	1061	23621	575	3283	920	507	266	39	1203	1430	2687	1536	1737	1298	1723	1913	2705	2098	2416	951	1642	916	3748	2236	1261	3026	4231	1795	2415	737	640	515
prok_asv27	135	79	22	9	166	206	1810	2499	285	693	1403	1999	1777	634	1057	1033	945	2409	665	189	23	85	6	32	5	87	173	508	647	512	634	510	343	550	603	533	958	393	74	161	125	9	9	14	2	4	13	3	7	381	120	242	745	575	483	835	517	759	402	234	462	2568	1184	347	116	620	9212	209	1692	1527	119	21	2	298	601	952	1320	1529	1257	1571	2938	4789	5153	4603	2125	1757	1192	2492	521	185	498	969	221	44	205	26	52
prok_asv28	594	1135	1967	1180	2334	1762	1770	1308	245	405	884	1771	1535	378	1405	553	518	532	320	339	191	367	381	617	338	578	661	2022	700	417	558	590	402	433	693	402	1036	781	185	420	301	372	198	409	188	79	311	151	715	1217	1302	1300	1785	1171	650	630	416	675	384	225	321	2108	939	373	75	407	7948	411	594	470	240	417	59	1609	1137	2862	1029	956	341	400	1351	1726	1748	1605	508	649	516	2202	817	572	1109	1545	1154	805	1431	1055	796
prok_asv29	2650	1110	925	375	276	117	112	76	2	19	27	112	98	144	129	83	149	615	331	946	613	1237	1231	924	719	257	147	69	43	34	11	16	8	25	32	35	87	110	171	531	1394	3059	1476	1422	1504	134	2372	1907	893	519	930	99	78	0	22	49	80	0	12	20	18	270	78	218	93	274	6666	1481	4316	274	774	970	161	1136	927	1200	576	318	97	244	182	152	155	338	149	288	207	986	3266	4503	5370	10251	4362	4348	1541	1247	422
prok_asv31	2952	2776	934	447	946	404	622	795	131	246	440	564	563	130	848	728	920	2732	829	570	427	653	880	1562	408	920	707	416	214	180	189	147	162	160	225	203	518	500	253	638	292	20	268	605	423	736	2021	445	1305	1565	1446	689	767	310	104	213	215	236	75	98	95	1186	875	294	379	1074	21393	1018	3204	3123	935	387	292	2295	8151	4398	1972	526	236	107	177	316	287	353	73	163	106	444	380	375	741	4487	1970	763	1398	614	648
