RAS_id	RAS_sample_names	MG_sample_names	date	SSU_16S	SSU_18S	MetaG	lat	daylight	depth	temp	sal	sig	O2_conc	O2_sat	Chl_a	CO2	pH	PAR_satellite	MLD	AW_frac	PW_frac	NO3_NO2	PO4	NO2	SiO4	iceConc	iceDist	icePast	iceDistPast	sample_title	mooring_full	year	month	lon
08_2016_F4_1	FRAM_RAS_F4_08_1617_1	FRAM_RAS_F4_08_1617_1	01.08.2016	16S	18S		79.01	24	28.83	6.15	35.1	27.61	306.3	99.67	2.09	320.85	8.06	20.374	0	0.96	0.04	3.53	0.47	0.02	2.31	0	76.01	4.29	66.49	RAS_F4_08_1617_1	F4-S-1	2016-17	Aug	6.96
08_2016_F4_2	FRAM_RAS_F4_08_1617_2	FRAM_RAS_F4_08_1617_2	15.08.2016	16S	18S		79.01	24	35.82	6.9	35.08	27.5	292.63	96.84	0.74	333.28	8.12	14.078	0	0.93	0.07	1.42	0.33	0.01	1.76	0	84.21	0	82.21	RAS_F4_08_1617_2	F4-S-1	2016-17	Aug	6.96
08_2017_F4_1	FRAM_RAS_F4_08_1718_1	FRAM_RAS_F4_08_1718_1	16.08.2017	16S	18S	MG	79.01	24	25.1	7.44	35.03	27.38	NA	NA	1.87	245.32	8.18	14.008	0	0.85	0.15	NA	NA	NA	NA	0	79.95	0.06	68.48	RAS_F4_08_1718_1	F4-S-2	2017-18	Aug	6.96
08_2017_F4_2	FRAM_RAS_F4_08_1718_2	FRAM_RAS_F4_08_1718_2	30.08.2017	16S	18S	MG	79.01	19.94	33.62	7.22	35.06	27.43	294.19	98.04	1.02	318.98	8.1	17.726	0	0.89	0.11	NA	NA	NA	NA	0	77.64	0	77.18	RAS_F4_08_1718_2	F4-S-2	2017-18	Aug	6.96
08_2018_F4_1	FRAM_RAS_F4_08_1819_1	FRAM_RAS_F4_08_1819_1	05.08.2018	16S	18S	MG	79	24	24.55	6.42	35.01	27.51	308.86	101.05	4.62	584.45	8.21	20.796	0	0.85	0.15	NA	NA	NA	NA	0	75.42	0	75.42	RAS_F4_08_1819_1	F4-S-3	2018-19	Aug	7
08_2018_F4_2	FRAM_RAS_F4_08_1819_2	FRAM_RAS_F4_08_1819_2	21.08.2018	16S	18S		79	24	23.85	6.41	34.99	27.49	302.94	99.08	3.65	398.04	8.21	18.276	0	0.82	0.18	NA	NA	NA	NA	0	71.38	0	75.22	RAS_F4_08_1819_2	F4-S-3	2018-19	Aug	7
08_2019_F4_1	FRAM_RAS_F4_08_1819_3	FRAM_RAS_F4_08_1819_3	04.08.2019	16S	18S		79	24	23.09	4.8	34.78	27.53	354.42	111.43	3.68	522.15	8.23	14.8	0	0.61	0.39	NA	NA	NA	NA	0	75.42	0	75.42	RAS_F4_08_1819_3	F4-S-3	2019-20	Aug	7
08_2019_F4_2	FRAM_RAS_F4_08_1819_4	FRAM_RAS_F4_08_1819_4	12.08.2019	16S	18S	MG	79	24	22.85	7.04	34.95	27.38	310.81	103.09	3.46	533.02	8.21	28.038	0	0.77	0.23	NA	NA	NA	NA	0	75.42	0	75.42	RAS_F4_08_1819_4	F4-S-3	2019-20	Aug	7
08_2020_F4	FRAM_RAS_F4_08_1920	FRAM_RAS_F4_08_1920	16.08.2020	16S	18S		79.02	24	26.35	6.78	34.93	27.39	292.47	96.42	1.94	643.22	0	4.65	0	0.75	0.25	NA	NA	NA	NA	0	75.42	0	75.42	RAS_F4_08_1920	F4-S-4	2020-21	Aug	6.97
09_2016_F4_1	FRAM_RAS_F4_09_1617_1	FRAM_RAS_F4_09_2016_1	01.09.2016	16S	18S	MG	79.01	18.63	28.6	7.22	34.9	27.31	295.51	98.37	NA	342.92	8.17	13.114	0	0.71	0.29	NA	NA	NA	NA	0	86.11	0	80.84	RAS_F4_09_1617_1	F4-S-1	2016-17	Sep	6.96
