ASV_name	08_2016_F4_1	08_2016_F4_2	09_2016_F4_1	09_2016_F4_2	10_2016_F4	11_2016_F4	12_2016_F4	01_2017_F4	02_2017_F4_1	02_2017_F4_2	03_2017_F4_2	03_2017_F4_3	03_2017_F4_4	04_2017_F4_1	04_2017_F4_2	05_2017_F4_1	05_2017_F4_2	06_2017_F4_1	06_2017_F4_2	07_2017_F4_1	07_2017_F4_2	07_2017_F4_3	07_2017_F4_4	08_2017_F4_1	08_2017_F4_2	09_2017_F4_1	09_2017_F4_2	10_2017_F4	11_2017_F4	12_2017_F4	01_2018_F4	02_2018_F4_1	02_2018_F4_2	03_2018_F4_1	03_2018_F4_3	04_2018_F4_1	04_2018_F4_2	04_2018_F4_3	04_2018_F4_4	05_2018_F4_1	05_2018_F4_2	06_2018_F4_1	06_2018_F4_2	06_2018_F4_3	07_2018_F4_1	07_2018_F4_2	08_2018_F4_1	08_2018_F4_2	09_2018_F4_1	09_2018_F4_2	10_2018_F4_1	10_2018_F4_2	11_2018_F4_1	11_2018_F4_2	12_2018_F4_1	12_2018_F4_2	01_2019_F4_1	01_2019_F4_2	02_2019_F4	03_2019_F4_1	03_2019_F4_2	04_2019_F4_1	04_2019_F4_2	05_2019_F4_1	05_2019_F4_2	06_2019_F4_1	06_2019_F4_2	07_2019_F4_1	07_2019_F4_2	07_2019_F4_3	07_2019_F4_4	08_2019_F4_1	08_2019_F4_2	09_2019_F4_1	10_2019_F4_1	10_2019_F4_2	11_2019_F4_1	11_2019_F4_2	12_2019_F4_1	12_2019_F4_2	01_2020_F4_1	01_2020_F4_2	02_2020_F4_1	02_2020_F4_2	03_2020_F4_1	03_2020_F4_2	04_2020_F4_1	04_2020_F4_2	05_2020_F4_1	05_2020_F4_2	06_2020_F4_1	06_2020_F4_2	07_2020_F4_1	07_2020_F4_2	08_2020_F4	09_2020_F4_1	09_2020_F4_2
euk_asv40	4	5	43	0	33	439	104	222	1	0	33	0	7	1	218	4	0	46	200	24	1198	12465	1345	10	1226	46	10	0	0	0	0	308	1	0	0	0	0	651	16	3396	23	25	86	24	362	1739	79	8	0	0	486	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	4	1405	3	0	0	22	182	7	4	0	0	0	1	0	0	7	0	78	0	13	0	0	0	24951	9727	15	1	64	4278
euk_asv41	843	241	420	209	416	401	152	244	513	239	184	817	794	150	120	214	525	294	2215	363	576	463	399	63	839	248	2738	308	176	82	204	316	3	14	265	317	115	301	43	289	232	56	70	101	25	850	35	55	366	1119	718	1563	174	3	314	5	8	18	3	0	13	94	1	3653	234	900	1523	752	9658	567	1108	376	32	1406	4083	2536	5056	2003	410	3672	246	1322	502	128	33	35	96	430	508	802	4754	3374	1957	3637	801	95	767
euk_asv42	0	1	1	2	18	0	85	352	725	3651	3758	10196	6353	1443	697	0	1	1	2	0	1	0	0	1	0	1	19	3	25	37	331	3158	1	618	2344	1266	2540	416	14	24	0	11	0	0	0	0	1	0	0	5	0	0	0	3151	1097	1	23	0	826	587	3477	1598	162	129	0	8	0	1	4	57	1	0	0	0	2	68	561	314	342	1543	641	774	2560	1691	956	99	6	19	0	0	0	0	0	0	0	0	0
euk_asv43	11	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	530	656	0	32	92	354	424	732	10189	5069	639	62	55	51	0	232	0	0	3	78	61	45	43	3528	109	1690	5550	5116	5045	1753	753	3689	8265	3339	336	44	2	0	0	1	0	2	4	1	2	1	14	496	5236	3169	2745	611	833	110	95	12	90	0	106	207	8	0	0	24	0	0	0	0	0	0	0	85	1037	5277	14778	6369	2743	2693	606	3302	1887
euk_asv44	575	124	39	15	24	150	0	1	217	0	35	0	0	26	0	2	30	5	48	81	30	259	245	2656	1060	143	1270	344	276	292	337	164	1	152	157	114	34	136	4	54	66	17	55	50	8	3	112	97	828	225	351	6	1138	1	1	1	0	1	2	630	0	2	0	43	1	102	356	57	943	1601	2281	89	165	6764	15738	12652	20271	3735	3711	4121	824	1517	1372	732	396	140	66	42	100	52	1466	164	1033	1032	1278	1374	1278
euk_asv45	77	271	24	48	22	97	283	375	512	105	150	3888	263	1359	99	22	287	407	0	33	64	61	191	9	143	78	804	124	302	283	377	974	0	132	687	388	389	303	42	224	9	1	95	16	1	22	337	34	326	121	53	1759	275	1	1149	1	2	48	1885	2	3	0	197	3215	6201	1756	5	13	77	120	64	306	111	48	280	44	575	774	653	8598	584	4187	1665	1621	636	665	63	128	115	219	89	159	25	27	54	10	15
euk_asv47	470	84	18	15	0	0	0	0	0	1	0	1	3	2	11	21	13	47	0	63	214	430	954	71	154	70	33	0	48	0	0	175	0	0	0	317	0	14	0	0	0	0	1	2	4	833	154	32	62	179	0	21	5	3	1	10	4	14	3	29	2	1	1	24	141	16832	1897	44112	3303	1832	2335	6856	2150	98	25	0	0	60	0	0	0	0	0	0	0	0	22	66	1207	757	377	2	81	1844	64	4	16
euk_asv48	454	9	81	48	0	0	0	1	3	1	25	3340	1273	222	1210	232	1063	259	1	2369	565	6356	1648	715	1976	138	10	1	9	2	5	1	1	199	107	9071	1106	122	106	73	31	601	13750	4172	1296	11	692	1601	45	639	2	1	1	1	2	2	1	4	1	0	10177	0	5414	2371	31	12	1413	1	88	1	334	615	314	110	1058	1	0	0	0	0	0	126	0	0	0	47	105	553	208	901	39	344	36	146	77	379	527
euk_asv49	52	0	22	186	1038	0	739	1	0	624	47	333	35	705	821	242	323	532	42	73	128	893	350	374	15636	3390	8529	489	164	20	244	587	3	170	1649	748	2056	2436	1	17	38	11	32	212	160	42	4623	2359	1457	1010	664	796	2	2	684	1	1	6	4	109	1405	735	501	977	484	2388	411	24	674	821	111	5365	68	119	720	462	1659	80	0	0	61	1	0	91	110	87	67	65	236	1051	493	168	109	196	41	6	185
euk_asv51	20024	37	1674	1644	11431	486	8	7	1	0	440	2	4	0	0	2	0	1	0	1	466	209	285	44	503	1	9428	2	17	93	8	1	1	2	0	1	3	0	0	0	0	3	0	126	24	2634	155	16	3	86	26	0	1	0	0	2	1	0	8	0	1	0	1	6	2	1	171	1	1	0	2771	12379	1029	240	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	99	628	45	0	20	742
