ASV_name	Kingdom	Phylum	Class	Order	Family	Genus	Species
euk_asv7129	Eukaryota	Dinoflagellata	Syndiniales	Dino-Group-I	Dino-I-1	Dino-I-1 uc	Dino-I-1 uc_sp.
euk_asv7130	Eukaryota	Radiolaria	Acantharea	Acantharea-Group-II	Acantharea-Group-II uc	Acantharea-Group-II uc	Acantharea-Group-II uc_sp.
euk_asv7131	Eukaryota	Dinoflagellata	Dinophyceae	Gonyaulacales	Gonyaulacaceae	Gonyaulax	Gonyaulax_sp.
euk_asv7132	Eukaryota	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gyrodinium	Gyrodinium_heterogrammum
euk_asv7133	Eukaryota	Ochrophyta	Bacillariophyta	Bacillariophyta uc	Mediophyceae	Chaetoceros	Chaetoceros_neogracilis
euk_asv7134	Eukaryota	Picozoa	Picozoa uc	Picozoa uc	Picozoa uc	Picozoa uc	Picozoa uc_sp.
euk_asv7135	Eukaryota	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gyrodinium	Gyrodinium_helveticum
euk_asv7136	Eukaryota	Chlorophyta	Chloropicophyceae	Chloropicales	Chloropicaceae	Chloroparvula	Chloroparvula_pacifica
euk_asv7137	Eukaryota	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-II-10-and-11	Dino-II-10-and-11 uc	Dino-II-10-and-11 uc_sp.
euk_asv7138	Eukaryota	Dinoflagellata	Syndiniales	Dino-Group-I	Dino-I-5	Dino-I-5 uc	Dino-I-5 uc_sp.
euk_asv7140	Eukaryota	Dinoflagellata	Dinophyceae	Suessiales	Suessiaceae	Polarella	Polarella_glacialis
euk_asv7141	Eukaryota	Ochrophyta	Bacillariophyta	Bacillariophyta uc	Coscinodiscophyceae	Melosira	Melosira_arctica
euk_asv7142	Eukaryota	Dinoflagellata	Dinophyceae	Dinophyceae uc	Dinophyceae uc	Dinophyceae uc	Dinophyceae uc
euk_asv7143	Eukaryota	Dinoflagellata	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gyrodinium	Gyrodinium_heterogrammum
